,Position,ø-Age,Market value,ø-Market value,Unnamed: 4,TeamName,Year,marketValue
1,Defender,2464,"152,00 Mill. €","10,86 Mill. €",,Man City,2012,152000000
2,Forward,2260,"177,10 Mill. €","17,71 Mill. €",,Man City,2012,177100000
3,Total:,2383,"520,75 Mill. €","12,70 Mill. €",,Man City,2012,520750000
0,Goalkeeper,2900,"27,25 Mill. €","9,08 Mill. €",,Man City,2013,27250000
1,Defender,2560,"129,75 Mill. €","12,98 Mill. €",,Man City,2013,129750000
2,Forward,2413,"168,00 Mill. €","21,00 Mill. €",,Man City,2013,168000000
3,Total:,2554,"486,00 Mill. €","17,36 Mill. €",,Man City,2013,486000000
0,Goalkeeper,3167,"21,25 Mill. €","7,08 Mill. €",,Man City,2014,21250000
1,Defender,2500,"153,75 Mill. €","11,83 Mill. €",,Man City,2014,153750000
2,Forward,2463,"156,50 Mill. €","19,56 Mill. €",,Man City,2014,156500000
3,Total:,2539,"478,00 Mill. €","13,28 Mill. €",,Man City,2014,478000000
0,Goalkeeper,3267,"21,25 Mill. €","7,08 Mill. €",,Man City,2015,21250000
1,Defender,2436,"129,50 Mill. €","9,25 Mill. €",,Man City,2015,129500000
2,Forward,2244,"148,60 Mill. €","16,51 Mill. €",,Man City,2015,148600000
3,Total:,2437,"452,75 Mill. €","11,91 Mill. €",,Man City,2015,452750000
0,Goalkeeper,2900,"35,00 Mill. €","8,75 Mill. €",,Man City,2016,35000000
1,Defender,2515,"158,60 Mill. €","12,20 Mill. €",,Man City,2016,158600000
2,Forward,2331,"224,05 Mill. €","17,23 Mill. €",,Man City,2016,224050000
3,Total:,2473,"621,40 Mill. €","14,12 Mill. €",,Man City,2016,621400000
0,Goalkeeper,2700,"43,25 Mill. €","10,81 Mill. €",,Man City,2017,43250000
1,Defender,2430,"186,25 Mill. €","18,63 Mill. €",,Man City,2017,186250000
2,Forward,2150,"223,35 Mill. €","27,92 Mill. €",,Man City,2017,223350000
3,Total:,2406,"616,35 Mill. €","19,26 Mill. €",,Man City,2017,616350000
0,Goalkeeper,3000,"63,50 Mill. €","21,17 Mill. €",,Man City,2018,63500000
1,Defender,2600,"280,50 Mill. €","28,05 Mill. €",,Man City,2018,280500000
2,Forward,2350,"451,00 Mill. €","56,38 Mill. €",,Man City,2018,451000000
3,Total:,2506,"1,07 Bill. €","33,39 Mill. €",,Man City,2018,1070000000
0,Goalkeeper,2325,"4,55 Mill. €","1,14 Mill. €",,Middlesbrough,2005,4550000
1,Defender,2473,"28,33 Mill. €","1,89 Mill. €",,Middlesbrough,2005,28330000
2,Forward,2430,"43,20 Mill. €","4,32 Mill. €",,Middlesbrough,2005,43200000
3,Total:,2423,"109,63 Mill. €","2,81 Mill. €",,Middlesbrough,2005,109630000
0,Goalkeeper,2425,"4,20 Mill. €","1,05 Mill. €",,Middlesbrough,2006,4200000
1,Defender,2264,"28,30 Mill. €","2,02 Mill. €",,Middlesbrough,2006,28300000
2,Forward,2433,"32,20 Mill. €","3,58 Mill. €",,Middlesbrough,2006,32200000
3,Total:,2343,"95,35 Mill. €","2,72 Mill. €",,Middlesbrough,2006,95350000
0,Goalkeeper,2700,"4,51 Mill. €","1,50 Mill. €",,Middlesbrough,2007,4510000
1,Defender,2225,"32,51 Mill. €","2,71 Mill. €",,Middlesbrough,2007,32510000
2,Forward,2280,"42,85 Mill. €","4,29 Mill. €",,Middlesbrough,2007,42850000
3,Total:,2350,"110,17 Mill. €","3,24 Mill. €",,Middlesbrough,2007,110170000
0,Goalkeeper,2200,"1,10 Mill. €",367 Th. €,,Middlesbrough,2008,1100000
1,Defender,2154,"18,90 Mill. €","1,45 Mill. €",,Middlesbrough,2008,18900000
2,Forward,2300,"37,90 Mill. €","3,79 Mill. €",,Middlesbrough,2008,37900000
3,Total:,2227,"79,90 Mill. €","2,42 Mill. €",,Middlesbrough,2008,79900000
0,Goalkeeper,2667,"2,20 Mill. €",733 Th. €,,Middlesbrough,2009,2200000
1,Defender,2194,"34,05 Mill. €","1,89 Mill. €",,Middlesbrough,2009,34050000
2,Forward,2467,"41,90 Mill. €","2,79 Mill. €",,Middlesbrough,2009,41900000
3,Total:,2336,"96,75 Mill. €","2,06 Mill. €",,Middlesbrough,2009,96750000
0,Goalkeeper,2600,"3,00 Mill. €",600 Th. €,,Middlesbrough,2010,3000000
1,Defender,2260,"20,40 Mill. €","1,36 Mill. €",,Middlesbrough,2010,20400000
2,Forward,2338,"18,15 Mill. €","2,27 Mill. €",,Middlesbrough,2010,18150000
3,Total:,2351,"60,70 Mill. €","1,48 Mill. €",,Middlesbrough,2010,60700000
0,Goalkeeper,2320,"1,65 Mill. €",330 Th. €,,Middlesbrough,2011,1650000
1,Defender,2333,"9,50 Mill. €","1,06 Mill. €",,Middlesbrough,2011,9500000
2,Forward,2291,"12,18 Mill. €","1,11 Mill. €",,Middlesbrough,2011,12180000
3,Total:,2339,"35,93 Mill. €",998 Th. €,,Middlesbrough,2011,35930000
0,Goalkeeper,2100,"1,05 Mill. €",350 Th. €,,Middlesbrough,2012,1050000
1,Defender,2408,"11,25 Mill. €",865 Th. €,,Middlesbrough,2012,11250000
